,ProcessId,RoundId,Workstation,Start,End,ProcessDurationInSeconds,Type,ProductionStart,ProductionEnd,ProductionDurationInSeconds
0,2178,243,1,2025-08-29 16:14:04,2025-08-29 16:14:41,37.0,6.0,2025-08-29 16:13:55,2025-08-29 16:18:52,297.0
1,2166,243,3,2025-08-29 16:14:10,2025-08-29 16:15:13,63.0,,,,
2,2178,243,4,2025-08-29 16:14:55,2025-08-29 16:18:42,227.0,6.0,2025-08-29 16:13:55,2025-08-29 16:18:52,297.0
3,2179,243,1,2025-08-29 16:15:49,2025-08-29 16:16:40,51.0,7.0,2025-08-29 16:15:37,2025-08-29 16:20:00,263.0
4,2176,243,3,2025-08-29 16:15:54,2025-08-29 16:17:03,69.0,,,,
5,2151,243,2,2025-08-29 16:15:57,2025-08-29 16:16:16,19.0,,,,
6,2148,243,2,2025-08-29 16:16:26,2025-08-29 16:17:03,37.0,,,,
7,2179,243,5,2025-08-29 16:17:07,2025-08-29 16:19:48,161.0,7.0,2025-08-29 16:15:37,2025-08-29 16:20:00,263.0
8,2145,243,2,2025-08-29 16:17:55,2025-08-29 16:19:43,108.0,,,,
9,2180,243,1,2025-08-29 16:19:42,2025-08-29 16:20:12,30.0,8.0,2025-08-29 16:19:34,2025-08-29 16:25:40,366.0
10,2174,243,3,2025-08-29 16:19:43,2025-08-29 16:21:38,115.0,,,,
11,2180,243,4,2025-08-29 16:20:23,2025-08-29 16:25:31,308.0,8.0,2025-08-29 16:19:34,2025-08-29 16:25:40,366.0
12,2181,243,1,2025-08-29 16:22:56,2025-08-29 16:23:16,20.0,6.0,2025-08-29 16:22:52,2025-08-29 16:27:19,267.0
13,2175,243,3,2025-08-29 16:22:57,2025-08-29 16:24:08,71.0,,,,
14,2146,243,2,2025-08-29 16:22:58,2025-08-29 16:24:22,84.0,,,,
15,2122,243,1,2025-08-29 16:23:29,2025-08-29 16:24:03,34.0,,,,
16,2181,243,5,2025-08-29 16:24:09,2025-08-29 16:27:05,176.0,6.0,2025-08-29 16:22:52,2025-08-29 16:27:19,267.0
17,2173,243,3,2025-08-29 16:24:11,2025-08-29 16:25:24,73.0,,,,
18,2147,243,2,2025-08-29 16:24:28,2025-08-29 16:26:02,94.0,,,,
19,2182,243,1,2025-08-29 16:24:32,2025-08-29 16:24:55,23.0,6.0,2025-08-29 16:24:04,2025-08-29 16:33:24,560.0
20,2147,243,2,2025-08-29 16:24:34,2025-08-29 16:26:02,88.0,,,,
21,2183,243,1,2025-08-29 16:25:18,2025-08-29 16:26:54,96.0,7.0,2025-08-29 16:25:12,2025-08-29 16:33:20,488.0
22,2165,243,3,2025-08-29 16:25:27,2025-08-29 16:26:49,82.0,,,,
23,2122,243,4,2025-08-29 16:25:36,2025-08-29 16:28:10,154.0,,,,
24,2161,243,2,2025-08-29 16:26:12,2025-08-29 16:27:26,74.0,,,,
25,2182,243,5,2025-08-29 16:27:14,2025-08-29 16:28:26,72.0,6.0,2025-08-29 16:24:04,2025-08-29 16:33:24,560.0
26,2164,243,3,2025-08-29 16:27:25,2025-08-29 16:28:29,64.0,,,,
27,2184,243,1,2025-08-29 16:27:43,2025-08-29 16:28:01,18.0,6.0,2025-08-29 16:27:28,2025-08-29 16:32:00,272.0
28,2160,243,2,2025-08-29 16:27:44,2025-08-29 16:28:48,64.0,,,,
29,2183,243,4,2025-08-29 16:28:17,2025-08-29 16:31:19,182.0,7.0,2025-08-29 16:25:12,2025-08-29 16:33:20,488.0
30,2184,243,5,2025-08-29 16:28:30,2025-08-29 16:31:20,170.0,6.0,2025-08-29 16:27:28,2025-08-29 16:32:00,272.0
31,2185,243,1,2025-08-29 16:28:31,2025-08-29 16:29:28,57.0,7.0,2025-08-29 16:28:19,2025-08-29 16:33:11,292.0
32,2169,243,3,2025-08-29 16:28:33,2025-08-29 16:29:27,54.0,,,,
33,2159,243,2,2025-08-29 16:28:54,2025-08-29 16:30:06,72.0,,,,
34,2163,243,3,2025-08-29 16:29:30,2025-08-29 16:30:41,71.0,,,,
35,2186,243,1,2025-08-29 16:29:32,2025-08-29 16:29:57,25.0,8.0,2025-08-29 16:29:22,2025-08-29 16:38:11,529.0
36,2158,243,2,2025-08-29 16:30:12,2025-08-29 16:31:11,59.0,,,,
37,2172,243,3,2025-08-29 16:31:00,2025-08-29 16:32:23,83.0,,,,
38,2187,243,1,2025-08-29 16:31:11,2025-08-29 16:31:24,13.0,6.0,2025-08-29 16:31:05,2025-08-29 16:36:27,322.0
39,2182,243,4,2025-08-29 16:31:26,2025-08-29 16:31:52,26.0,6.0,2025-08-29 16:24:04,2025-08-29 16:33:24,560.0
40,2185,243,5,2025-08-29 16:31:27,2025-08-29 16:32:42,75.0,7.0,2025-08-29 16:28:19,2025-08-29 16:33:11,292.0
41,2157,243,2,2025-08-29 16:32:21,2025-08-29 16:32:22,1.0,,,,
42,2186,243,4,2025-08-29 16:32:26,2025-08-29 16:36:29,243.0,8.0,2025-08-29 16:29:22,2025-08-29 16:38:11,529.0
43,2188,243,1,2025-08-29 16:32:44,2025-08-29 16:33:01,17.0,6.0,2025-08-29 16:32:39,2025-08-29 16:38:14,335.0
44,2149,243,2,2025-08-29 16:32:46,2025-08-29 16:33:52,66.0,,,,
45,2187,243,5,2025-08-29 16:32:56,2025-08-29 16:36:09,193.0,6.0,2025-08-29 16:31:05,2025-08-29 16:36:27,322.0
46,2168,243,3,2025-08-29 16:33:49,2025-08-29 16:33:52,3.0,,,,
47,2189,243,1,2025-08-29 16:33:51,2025-08-29 16:34:58,67.0,7.0,2025-08-29 16:33:42,2025-08-29 16:39:20,338.0
48,2171,243,3,2025-08-29 16:33:55,2025-08-29 16:35:09,74.0,,,,
49,2152,243,2,2025-08-29 16:33:59,2025-08-29 16:35:04,65.0,,,,
50,2190,243,1,2025-08-29 16:35:38,2025-08-29 16:36:16,38.0,6.0,2025-08-29 16:35:33,2025-08-29 16:41:51,378.0
51,2153,243,2,2025-08-29 16:35:40,2025-08-29 16:36:34,54.0,,,,
52,2162,243,3,2025-08-29 16:35:41,2025-08-29 16:36:39,58.0,,,,
53,2189,243,5,2025-08-29 16:36:13,2025-08-29 16:39:04,171.0,7.0,2025-08-29 16:33:42,2025-08-29 16:39:20,338.0
54,2188,243,4,2025-08-29 16:36:33,2025-08-29 16:38:01,88.0,6.0,2025-08-29 16:32:39,2025-08-29 16:38:14,335.0
55,2167,243,3,2025-08-29 16:39:10,2025-08-29 16:40:13,63.0,,,,
56,2191,243,1,2025-08-29 16:39:10,2025-08-29 16:40:41,91.0,7.0,2025-08-29 16:39:02,2025-08-29 16:43:49,287.0
57,2190,243,5,2025-08-29 16:40:08,2025-08-29 16:41:41,93.0,6.0,2025-08-29 16:35:33,2025-08-29 16:41:51,378.0
58,2150,243,2,2025-08-29 16:40:10,2025-08-29 16:40:12,2.0,,,,
59,2191,243,4,2025-08-29 16:40:52,2025-08-29 16:43:39,167.0,7.0,2025-08-29 16:39:02,2025-08-29 16:43:49,287.0
60,2170,243,3,2025-08-29 16:41:08,2025-08-29 16:42:23,75.0,,,,
61,2144,243,2,2025-08-29 16:41:31,2025-08-29 16:42:30,59.0,,,,
62,2194,243,1,2025-08-29 16:51:07,2025-08-29 16:51:31,24.0,6.0,2025-08-29 16:51:04,2025-08-29 16:53:12,128.0
63,2193,243,3,2025-08-29 16:51:07,2025-08-29 16:51:53,46.0,,,,
64,2194,243,5,2025-08-29 16:51:37,2025-08-29 16:53:06,89.0,6.0,2025-08-29 16:51:04,2025-08-29 16:53:12,128.0
65,2192,243,2,2025-08-29 16:51:49,2025-08-29 16:51:52,3.0,,,,
